date,text
2018-03-30 04:51:00.000,Selama ini keluhan d daerah saya tidak ada respon
2018-03-30 02:40:00.000,Mantap.......semoga pelayanan ke masyarakat di permudah dan tidak sewenang wenang dan semaunye
2018-03-30 02:20:00.000,GEGER..!!! CAMAT KARANGAWEN DISURUH PAKAI PAKAIAN DALAMAN WANITA JIKA TIDAK TEGAS KEPADA KADES.via @YouTube https:// youtu.be/9xt1MHEYbzo @jokowi @Fahrihamzah @fadlizon @DPR_RI @KPK_RI @KejaksaanRI @DivHumas_Polri @SatgasPungli @SaberPungliRI @LAPOR1708 @karniilyas @tvOneNews
2018-03-30 00:55:00.000,@LAPOR1708 YTH TIM LAPOR SEBELUMNYA MOHON MAAF SEBAGAI BAHAN KOREKSI SEMOGA TIM LAPOR BENAR2 LAYANAN ASPIRASI PENGADUAN ONLINE RAKYAT YANG INDEPENDEN SEMOGA JUGA TIMLAPOR TIDAK HANYA TAJAM KEATAS TAPI TUMPUL KEBAWAH DALAM MENINDAK LANJUTI LAPORAN
2018-03-30 00:47:00.000,@LAPOR1708 YTH TIM LAPOR SEBELUMNYA MOHON MAAF SEBGAI BAHAN KOREKSI SEMOGA TIM LAPOR BENAR2 LAYANAN ASPIRASI PENGADUAN ONLINE RAKYAT YANG INDEPENDEN SEMOGA JUGA TIMLAPOR TIDAK HANYA TAJAM KEATAS TAPI TUMPUL KEBAWAH DALAM MENINDAK LANJUTI LAPORAN
2018-03-29 23:28:00.000,@LAPOR1708 udah ga bs kirim dm ya mau lapor?
2018-03-29 22:57:00.000,Oh jadi ini penyebabnya tangerang-duri acakadul jadwalnya penumpukan org2 dijam kerja dengan satu eskalator? Luar biasa kereennyaaaa kereta api kita ini yah @CommuterLine dalam pembuatan jadwal dan jalur lapor pak @LAPOR1708 tolong pembenahan #SahabatKAI
2018-03-29 22:26:00.000,2018 tgl 29/3/2018 kami orang tua siswa lapor minta laporan kami ditindak lanjuti ke pihak terkait. kami selaku orang tua siswa sudah berjumpa langsung dengan pak kepala sekolah 3/26/2018 bapak kelapa sekolah pak Aleksius Inggah bahkan minta kami lapor ke mantri pendidikan.
2018-03-29 22:19:00.000,Kepala sekolah mengatakan 50 siswa miskin yang sudah didatakan 2016 lalu sampai saat ini 2018 kip tidak keluar termasuk Kip anak Gloria Mia SD Nomor 4 Nanga merakai pos 78653. hilang kemana?? kali 450rb/ siswa / tahun 22jt500rb kalau untuk anak 50 siswa. kali 2 tahun 45jt.
2018-03-29 21:35:00.000,mohon ditindak lanjuti laporan kami ke pihak terkait dalam hal pendidikan dalam hal bantuan dalam haldana desa dalam hal segala bidang yang bersangkutan dengan kami masyarakat mohon pak supaya kami bisa benar benar percaya laporan ini benar benar manjur membantu kami masyarat
